существительное;класс наун;глагол;акцион;таксон;коллокация;нестандартные конструкции (1 или 2);субъекты (отличные от человека);пример употребления;частота
угорелый;физические свойства/состояния: результат воздействия;метаться;действие;движение: ненаправленное;метаться как угорелый;;стрелка;Когда работаешь с прибором, начинает барахлить компас, стрелка мечется, как угорелая.;58
угорелый;физические свойства/состояния: результат воздействия;носиться;действие;движение: ненаправленное;носиться как угорелый;;;? Бяшка несчастная! Носится как угорелый! Чуть гимнастерку не запачкал! [Анатолий Рыбаков. Кортик (1946-1948)];27
ужаленный;физические свойства/состояния: результат воздействия;вскакивать;действие;движение;вскакивать как ужаленный;;;Когда мы с вами на Урале уже будем? Игорь вскакивает как ужаленный. ? Кто будет на Урале? [Виктор Некрасов. В окопах Сталинграда (1946)];9
ужаленный;физические свойства/состояния: результат воздействия;подскочить;действие;движение;подскочить как ужаленный;;;? Нет, ? ответила Варвара, а Игнат подскочил как ужаленный и метнулся к выходу. [Татьяна Устинова. Подруга особого назначения (2003)];6
улей;сооружения;загудеть;проявление;звук: начало;загудеть как улей;;;? Он так толкнул ногой ближнюю макитру, что она загудела, как улей. [Ю. О. Домбровский. Хранитель древностей, часть 2 (1964)];2
улей ;сооружения;гудеть;проявление;звук;гудеть как улей;;аэродром, страна, зал, завод, комитет, площадь, институт, лестница, дворец, толпа;"На аэродроме, гудящем, как улей, я, плача, спросила его: ""А вы? [Ирина Муравьева. Мещанин во дворянстве (1994)]";17
умалишённый;ментальные свойства человека: отсутствие ума, человек: оценка;орать;действие;звук, эмоции: проявление, речь;орать как умалишённый;;;А под ярким солнцем из ярких автобусов выбегали бледные дети и орали, как умалишённые. [Татьяна Соломатина. Акушер-ХА! Байки (2009)];2
фанера;материалы и вещества;пролететь;действие;движение;пролететь как фанера над Парижем;1;;Если вдруг внук пролетит «как фанера над Парижем», обязательно стуканет ? ради справедливости…;3
часовой;человек;стоять;положение в пространстве;позиция;стоять как часовой;;;И она стоит, как часовой, на самом краешке стола, вытянув свою длинную шею. [Булат Окуджава. Новенький как с иголочки (1962)];10
часы;артефакты;работать;деятельность;актуальное/потенциальное занятие;работать как часы;;органы, компания, дорога, почки, желудки, милиция;В трудные минуты жизни кажется, что на сердце давит камень, а когда на сердце легко, все органы и системы организма работают, как часы. [Плачьте на здоровье // «Знание -- сила», 2003];34
человек;человек;выглядеть;свойство;;выглядеть как человек;;;Если бы будильник мог выглядеть как человек, он так бы и выглядел. [Анна Карабаш. Человек-утро (2002) // «Домовой», 2002.10.04];13
человек;человек;жить;деятельность;актуальное/потенциальное занятие;жить как человек;;;"Была целиком на стороне Клавдии, его осуждала: ""Когда же ты опомнишься, начнёшь жить, как человек? [И. Грекова. Фазан (1984)]";77
человек;человек;пожить;деятельность;;пожить как человек;;;Партийный выговор схватил. Зато пожил, как человек. По-нашему! [Сергей Довлатов. Иная жизнь (1984)];5
черепаха;животные: рептилии;идти;действие;движение: направленное;идти как черепаха;;;Я Владику дала зонт, сама иду под дождиком, а он довольный идёт как черепаха, ноги кое-как передвигает. [Письмо девушки из Перми сестре в Москву (2001)];3
черепаха;животные: рептилии;ползти;действие;движение: направленное;ползти как черепаха;;тс;Ветер свищет и оттуда и туда. Пароход ползет как черепаха. Ночь. [Е. А. Есенина. В Константинове (1957-1965)] ;11
черт;существа;выскакивать;действие;движение: ненаправленное;выскакивать как черт из табакерки;1;здание, фраза;? Куда ни кинешь глаз, новые здания выскакивают как черт из табакерки. [Юлия Вишневецкая, Зоя Харитонова. Над пропастью в Москве // «Русский репортер», № 45 (173), 18 ноября 2010, 2010];3
черт;существа;работать;деятельность;актуальное/потенциальное занятие;работать как чёрт;;;Работал, как чёрт, ? рьяно, сжав кулаки, закусив губу, шалея от бешенства и нелепости своего положения. [Ю. О. Домбровский. Хранитель древностей, часть 2 (1964)];9
